start_preprocess,e_preprocess,end_preprocess,start_infer,e_infer,end_infer,start_postprocess,e_postprocess,end_postprocess,execution_time,cycle_time,frame_rate
442994.02,9.79,443003.81,443003.81,18.37,443022.18,443022.18,0.01,443022.19,28.17,28.12,35.56
443022.19,9.78,443031.97,443031.97,18.43,443050.40,443050.40,0.01,443050.40,28.21,28.17,35.49
443050.41,9.87,443060.27,443060.27,18.35,443078.62,443078.62,0.01,443078.63,28.22,28.21,35.44
443078.63,9.78,443088.41,443088.41,18.30,443106.71,443106.71,0.01,443106.72,28.09,28.22,35.43
443106.72,9.81,443116.53,443116.53,18.34,443134.87,443134.87,0.01,443134.88,28.16,28.09,35.60
443134.88,9.77,443144.65,443144.65,18.33,443162.98,443162.98,0.01,443162.98,28.10,28.16,35.51
443162.99,9.88,443172.87,443172.87,18.40,443191.27,443191.27,0.01,443191.28,28.29,28.11,35.58
443191.28,9.80,443201.08,443201.08,18.41,443219.49,443219.49,0.01,443219.50,28.22,28.29,35.34
443219.50,9.79,443229.28,443229.28,18.28,443247.56,443247.56,0.01,443247.57,28.07,28.22,35.44
443247.57,9.81,443257.38,443257.38,18.35,443275.73,443275.73,0.01,443275.73,28.17,28.07,35.63
443275.74,9.80,443285.54,443285.54,18.31,443303.85,443303.85,0.01,443303.86,28.12,28.17,35.50
443303.86,9.76,443313.62,443313.62,18.31,443331.93,443331.93,0.01,443331.93,28.07,28.12,35.56
443331.93,9.86,443341.79,443341.79,18.37,443360.16,443360.16,0.01,443360.17,28.24,28.08,35.62
443360.17,9.84,443370.01,443370.01,18.47,443388.47,443388.47,0.01,443388.48,28.31,28.24,35.41
443388.48,9.78,443398.26,443398.26,18.35,443416.61,443416.61,0.01,443416.62,28.13,28.31,35.32
443416.62,9.79,443426.41,443426.41,18.38,443444.79,443444.79,0.01,443444.80,28.17,28.14,35.54
443444.80,9.85,443454.64,443454.64,18.36,443473.00,443473.00,0.01,443473.01,28.21,28.18,35.49
443473.01,9.81,443482.82,443482.82,18.34,443501.17,443501.17,0.01,443501.17,28.16,28.22,35.44
443501.17,9.89,443511.07,443511.07,18.42,443529.49,443529.49,0.01,443529.49,28.32,28.16,35.51
443529.50,9.79,443539.29,443539.29,18.43,443557.72,443557.72,0.01,443557.73,28.24,28.32,35.31
443557.73,9.81,443567.54,443567.54,18.35,443585.89,443585.89,0.01,443585.90,28.17,28.24,35.41
443585.90,9.83,443595.73,443595.73,18.35,443614.08,443614.08,0.01,443614.08,28.18,28.17,35.50
443614.08,9.85,443623.94,443623.94,18.36,443642.30,443642.30,0.01,443642.31,28.23,28.18,35.48
443642.31,9.87,443652.18,443652.18,18.34,443670.52,443670.52,0.01,443670.53,28.21,28.23,35.43
443670.53,9.79,443680.32,443680.32,18.38,443698.70,443698.70,0.01,443698.70,28.17,28.22,35.44
443698.70,9.86,443708.56,443708.56,18.38,443726.95,443726.95,0.01,443726.95,28.25,28.18,35.49
443726.96,9.78,443736.73,443736.73,18.33,443755.07,443755.07,0.01,443755.07,28.12,28.25,35.40
443755.08,9.87,443764.95,443764.95,18.29,443783.24,443783.24,0.01,443783.24,28.17,28.12,35.56
